sentence,word_pair,POS_word1,POS_word2
הרווקות נגמרת בשעת החתונה,חתונה:רווקות,NOUN,NOUN
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,הקיש:הלם,VERB,VERB
לקצוב פירושו לקבוע מידה מסוימת של זמן,לקצוב:זמן,UNDEFINED,NOUN
מה ששצף ביצע את הפעולה של לזרום בכוח,לזרום:שצף,VERB,VERB
שבע רצון הוא אדם שחש סיפוק,שבע רצון:סיפוק,PHRASE,NOUN
מאסף נמצא בסוף השיירה,שיירה:מְאסף,NOUN,UNDEFINED
שכתוב היא פעולה שעשה מי שכתב מחדש,כָּתַב:שכתוב,UNDEFINED,NOUN
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,נושה:חייב,NOUN,NOUN
לדוג פירשו לאסוף דג מהמים,לדוג:דג,VERB,NOUN
מיתרים מחוברים לגוף הכינור,כינור:מיתרים,NOUN,NOUN
.חייב הוא אדם שיש לו חוב,חייב:חוב,NOUN,NOUN
מסעד מאפשר לאדם להיות שעון,מסעד:שעון,NOUN,ADJECTIVE
מי שהפתיע עשה דבר מה לא צפוי,הפתיע:צפוי,VERB,ADJECTIVE
דמיוני הוא מה שאין בו ממש,דמיוני:ממש,ADJECTIVE,OTHER
דיוקן הוא תוצר עבודתו של הצייר,צַייר:דיוקן,UNDEFINED,NOUN
אצעדה היא סוג של תכשיט,אצעדה:תכשיט,NOUN,NOUN
הדרן הוא קטע הופעה נוסף שהאומן מצבע לאחר סוף המופע,מופע:הדרן,NOUN,NOUN
משט מורכב ממספר אניות,משט:אנייה,NOUN,UNDEFINED
אח הוא סוג של שאר (קרוב משפחה),אח:שאֵר,NOUN,UNDEFINED
ססגוני הוא מה שמאופיין בצבעים רבים ומגוונים,ססגוני:צבע,ADJECTIVE,NOUN
אדם שבייש אדם אחר גרם לו להרגיש נכלם,נכלם:בייש,ADJECTIVE,VERB
הכביר הוא מי שביצע פעולה הפוכה מלהמעיט,הכביר:להמעיט,UNDEFINED,VERB
כדי להוציא דבר מה ממצב של משכון יש לפדות אותו,משכוֹן:לפדות,UNDEFINED,VERB
אחד מסוגי הצבע הוא שני,צבע:שני,NOUN,NOUN
אדם שפקו ברכיו הוא אדם שמישהו הפחיד אותו,הפחיד:פקו ברכיו,VERB,UNDEFINED
ניתן להונות בקלות אדם המתאפיין בתמימות,תמימות:להונות,NOUN,VERB
קצר רוח הוא מי שרוצה דבר מה מיד,קצר רוח:מיד,PHRASE,OTHER
נגיש הוא תיאור לדבר שקל להגיע אליו,נגיש:להגיע,ADJECTIVE,VERB
דבר מהנה הוא דבר שגורם לתחושת הנאה,מהנה:הנאה,ADJECTIVE,NOUN
עצם לוהט הוא מאוד חם,חם:לוהט,ADJECTIVE,ADJECTIVE
הסתלק הוא מי שסילק את עצמו,הסתלק:סילק,VERB,VERB
מסגרת היא מבנה חיצוני אשר נועד להחזיק את עדשות המשקפיים,מסגרת:עדשות,NOUN,NOUN
סיקל הוא מי שסילק אבן שהפריעה לו מהשטח,סיקל:אבן,VERB,NOUN
לקבול משמעו לטעון כי משהו אינו כשורה,לקבול:כשורה,VERB,ADJECTIVE
בכבל חשמל עובר חשמל,חשמל:כבל חשמל,NOUN,UNDEFINED
לא ייתכן שמישהו כילה דבר בלתי נדלה,בלתי נדלה:כילה,PHRASE,VERB
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,דומה לו:דמיון,PHRASE,NOUN
מי שהתבשר קיבל בשורה,התבשר:בשורה,VERB,NOUN
דבר לולייני הוא דבר שצורתו היא צורת סליל,לולייני:סליל,ADJECTIVE,NOUN
משוער הוא משהו שהוא לא ודאי,משוער:ודאי,OTHER,ADJECTIVE
איש אשכולות הוא כינוי לאדם שיש לו ידע בתחומים רבים מגוונים,ידע:איש אשכולות,NOUN,PHRASE
בגד מייצרים מהצמר אשר נאסף בגז,בגד:גֵּז,NOUN,UNDEFINED
אגל היא יחידה אחת של טל,טל:אגל,NOUN,NOUN
קבוע וארעי (זמני) הן מילים שמשמעותן הפוכה,קבוע:ארעי,ADJECTIVE,ADJECTIVE
אבוס הוא מתקן המשמש בעלי חיים לאכילה ושוקת היא כלי המשמש אותם לשתייה,אבוס:שוקת,NOUN,NOUN
זניח הוא דבר שאין צורך להביא בחשבון,זניח:להביא בחשבון,ADJECTIVE,PHRASE
"מי ששואל ""היכן?"" עושה זאת על מנת למצוא משהו",היכן?:למצוא,NOUN,VERB
סימפוניה היא סוג של יצירה מוזיקלית,סימפוניה:יצירה מוזיקלית,NOUN,PHRASE
התבקש הוא מי שאדם אחר ביקש ממנו לעשות דבר מה,התבקש:ביקש,VERB,VERB
לחבר פירושו לגרום להפך מנתק,לחבר:נֶתֶק,UNDEFINED,UNDEFINED
לקלף זה להסיר את הקליפה מדבר מה,לקלף:קליפה,VERB,NOUN
ברזל הוא חומר הגלם שאיתו עובד הנפח,נפח:ברזל,NOUN,NOUN
להתכלות פירשו לעבור תהליך של התכלות אשר בסופו העובר אותו חדל מלהיות קיים,להתכלות:קיים,UNDEFINED,VERB
אדם שדידה הוא אדם שהלך עם מגבלה,דידה:הלך,VERB,VERB
מה שנעשה בריש גלי (בגלוי) אינו נעשה בחשאי,בריש גלי:בחשאי,UNDEFINED,OTHER
אם למישהו חש כמיהה לדבר מה משמעות הדבר כי הוא רוצה אותו מאוד,כמיהה:רוצה,NOUN,VERB
אם אני מכיר מישהו אז הוא מוכר עבורי,מכיר:מוכר,VERB,VERB
ניתן להגיש בעזרת טס,להגיש:טס,VERB,NOUN
"""שור!"" (""התבונן!"") הוא ציווי שגרם לכך שמישהו הביט","""שור!"":הביט",NOUN,VERB
קמין הוא סוג של תנור,קמין:תנור,NOUN,NOUN
העוגן יכול למנוע את הפעולה שהמשוט יוצר,משוט:עוגן,NOUN,NOUN
אדווה (גלים קטנים החולפים על פני מים שקטים) היא גל קטן נחשול הוא גל גדול.,אדווה:נחשול,NOUN,NOUN
מי שרוצה לפסק דבר מה צריך להשתמש בסימני פיסוק,לפסק:סימני פיסוק,UNDEFINED,UNDEFINED
אם למשהו יש מחיר גבוה אז הוא יקר,מחיר:יקר,NOUN,ADJECTIVE
המילה אז היא תשובה אפשרית לשאלה: מתי?,מתי?:אז,NOUN,OTHER
כאשר עושים משהו היטב משמעות הדבר כי הוא נעשה באופן טוב,טוֹב:היטב.,UNDEFINED,UNDEFINED
נקלע הוא מי שהגיע למקום מסוים במקרה כלומר בלי כוונה,נקלע:הגיע,NOUN,VERB
.מי שביצע המלכה הכתיר מישהו אחר וגרם לו להפוך למלך,המְלכה:מלך,UNDEFINED,NOUN
שאיפה היא הכנסה של אוויר,שאיפה:אוויר,NOUN,NOUN
מה שניצת התחיל לבעור,ניצת:לבעור,VERB,VERB
קמח הוא התוצר הרצוי של פעולת הריחיים,ריחיים:קמח,NOUN,NOUN
אדם שביצע את הפעולה לנמק עשוי היה לגרום לכך שאדם אחר השתכנע,לנמק:השתכנע,VERB,VERB
חיריק הוא נקודה (בצורתו) בעל שימוש מסוים (ניקוד),חיריק:נקודה,NOUN,NOUN
הבהרה היא מתן הסבר במטרה לכרום להבנה של דבר מה,הבהרה:הבנה,NOUN,NOUN
דבר לח הוא דבר רטוב במקצת בעוד שדבר רווי הוא דבר מלא לחלוטין בנוזל,לח:רווי,OTHER,ADJECTIVE
לדובב זה לגרום למישהו אחר לדבר,לדובב:לדבר,VERB,VERB
רמיזה זה לתת רמז לאחר,רמיזה:רמז,NOUN,NOUN
מיילדת היא מי שמסייעת לאחר ללדת ,מיילדת:ללדת,NOUN,VERB
תגבורת היא תוספת של כוח אדם,תגבורת:כוח אדם,NOUN,UNDEFINED
מי ששיבח דבר כלשהו ביצע את הפעולה ההפוכה ממי שגינה,שיבח:גינה,VERB,VERB
נר מסייע להפיג חושך,חושך:נר,NOUN,NOUN
צמחייה היא שם כולל לצמחים,צמחייה:צמחים,NOUN,NOUN
משמעות המילה מצרימה היא לכיוון מצרים,מצרים:מצרימה,NOUN,UNDEFINED
מי שהלבין פניו של אחר גרם לו בושה,בושה:הלבין פניו,NOUN,PHRASE
אם אדם קימר דבר כלשהו הוא גרם לכך שיהיה לו מבנה קשתי,קימר:קשתי,VERB,ADJECTIVE
נווד הוא אדם אשר מחליף את מקומו לעיתים קרובות,נווד:מקום,NOUN,NOUN
לוליין הוא אדם שמבצע תרגילים באוהל קרקס,לוליין:אוהל קרקס,NOUN,UNDEFINED
מי שהרשה נתן לאדם אחר רשות,הרשה:רשות,VERB,NOUN
כשאדם נמצא שמאלה ביחס לדבר מסוים הדבר למעשה נמצא מימין אל האדם,שמאלה:מימין,OTHER,UNDEFINED
כאשר מעונן פירוש הדבר שהשמיים מכוסים ענן(עננים),ענן:מעונן,NOUN,NOUN
טרחני הוא אדם הנוטה להטריד אחרים,טרחני:להטריד,ADJECTIVE,VERB
.לנסר זו פעולה שתוצר הלוואי שלה הוא שבבים,לנסר:שבבים,NOUN,NOUN
כדי להגיע לכיוון מערב יש ללכת ימה,מערב:ימה,NOUN,OTHER
להקהיל היא פעולת איסוף אנשים,אנשים:להקהיל,NOUN,VERB
אם נפרק סלע ליחידות קטנות יותר נקבל חצץ,סלע:חצץ,NOUN,VERB
להטריח פירושו לגרום למישהו טרחה,להטריח:טרחה,VERB,VERB
דוור הוא אדם המספק דואר לזולת,דוור:דואר,NOUN,NOUN
לקושש זה לאסוף עצם אותו ניתן להבעיר,לקושש:להבעיר,UNDEFINED,VERB
על גבי הכן ניתן להניח דברים כשם שבתוך המגירה ניתן להניח דברים,כַּן:על גבי,UNDEFINED,UNDEFINED
הישגיות היא השאיפה להגיע להישג חדש ומאתגר יותר בכל פעם,הישג:הישגיות,NOUN,NOUN
שערה היא המרכיב היחידי המופיע מספר רב של פעמים בתוך קווצה של שערות,קווצה:שערה,NOUN,NOUN
אדם שבא על שכרו הוא אדם שקיבל גמול על פועלו,גמול:בא על שכרו,NOUN,UNDEFINED
מי שטען סוללה למעשה הכין אותה לשימוש,טען:סוללה,VERB,NOUN
תהליך הביות גורם לכך שהעצם עליו מבוצע התהליך לא יהיה פראי,ביות:פראי,NOUN,ADJECTIVE
המילה איזה היא צורת היחיד של המילה אילו,איזה:אילו,OTHER,OTHER
שרר הוא מי שהתמיד בפעולה זו לאחר שהשתרר במקום מסוים,השׂתרר:שָׂרַר,UNDEFINED,UNDEFINED
לחם הוא מאכל שנאפה מחיטה שנקצר,לֶחם:נקצר,UNDEFINED,VERB
הפעולה שמתבצעת על המקלדת מוצגת באצמעות צג,צג:מקלדת,OTHER,NOUN
דבר מסקרן מעורר לסקרנות,מסַקרֵן:סקרנות,UNDEFINED,NOUN
קל להרגיז מישהו שהוא נוח לכעוס,נוח לכעוס:הרגיז,UNDEFINED,VERB
מי ששאל שאלה רצה לקבל תשובה ממישהו אחר,שאל:תשובה,VERB,NOUN
פלה פירושו סילק כינים מתוך השיער,פלה:שער,VERB,UNDEFINED
אח הוא סוג של שאר בשר (קרוב משפחה),שאר בשר:אח,UNDEFINED,NOUN
תסמין מסייע לרופא להגיע לאבחנה,תסמין:אבחנה,NOUN,NOUN
מעקה נועד למנוע נפילה ולהגן מפניה,נפילה:מעקה,NOUN,NOUN
אם מישהו מסכים עם מישהו אחר יש ביניהם תמימות דעים,מסכים:תמימות דעים,VERB,PHRASE
קפדן הוא מי שנוטה לדקדק,קפדן:לדקדק,NOUN,VERB
ייעודו של לוח מודעות הוא שיתלו עליו מודעות,לוח מודעות:מודעות,PHRASE,NOUN
לאלתר פירושו ללא שהייה,לאלתר:שהייה,OTHER,NOUN
לייקר זה להעלות את המחיר,מחיר:לייקר,NOUN,VERB
כדי לשכנע מישהו צריך לטעון היטב,לשכנע:לטעון,VERB,VERB
צרה צרורה היא הצורה הקיצונית של צרה,צרה:צרה צרורה,NOUN,PHRASE
הספרייה מכילה פרטים שאחד ממרכיביהם הוא דף,ספרייה:דף,NOUN,NOUN
אטב משמש לתליית דברים על חבל הכביסה,אטב:חבל כביסה,NOUN,UNDEFINED
באמצעות אבזם סוגרים אבנט,אבנט:אבזם,NOUN,NOUN
לגרום למישהו להתלקח פירושו לגרום לו לעבור את התהליך ההפוך מלדעוך,להתלקח:לדעוך,VERB,VERB
פה - במקום הזה אי שם - במקום כלשהו לא מפורט,פה:אי שם,NOUN,UNDEFINED
מצב בלתי הפיך הוא מצבצ שלא ניתן להחזיר לקדמותו,בלתי הפיך:להחזיר לקדמותו,PHRASE,PHRASE
את המפה פורשים על השולחן,מפה:שולחן,NOUN,NOUN
כאן פירושה במקום הזה,כאן:מקום,OTHER,NOUN
הוביל פירושו שאדם אחר הלך בעקבותיו,הוביל:הלך בעקבותיו,VERB,PHRASE
"נו""ן הוא שמה של האות ה- 14 באלף- בית","אות:נו""ן",NOUN,NOUN
סימני ניקוד מטרתם להקל עבור אנשים על הקריאה,ניקוד:קריאה,NOUN,NOUN
דגל לבן משמש בכדי להביע כניעה,דגל לבן:כניעה,PHRASE,NOUN
הפעולה לפייס נועדה לגרום למישהו להפסיק להיות זועף,זועף:לפייס,NOUN,VERB
בדבר מושלם אין פגם,מושלם:פגם,ADJECTIVE,NOUN
מי שעמד בניסיון לא התפתה לדבר מה,עמד בניסיון:התפתה,UNDEFINED,VERB
מי שהפיס דעתו של אדם אחר גרם לאותו אדם להיות מרוצה,הפיס דעתו:מרוצה,UNDEFINED,ADJECTIVE
חוטב הוא אדם המבצע פעולה הנעשית על מנת לספק חומר גלם לעבודתו של הנגר,חוטב:נגר,NOUN,NOUN
ריק הוא מה שאין בו תכולה,ריק:תכולה,NOUN,NOUN
טאטא הוא מי שניקה את הרצפה שיצר את הרצף,רַצָּף:טאטא,UNDEFINED,VERB
דרך הוא מה שהזולת סלל,דרך:סלל,NOUN,VERB
קריאת ודאי! נאמרת על ידי מי שלא מהסס,ודאי!:מהסס,NOUN,VERB
קדנציה (תקופת כהונה מוגדרת) נמדדת בזמן,קדנציה:זמן,NOUN,NOUN
נים ולא נים הוא מצב הנע בין שני מצבים: שינה וערות,נים ולא נים:שינה,PHRASE,NOUN
השאלה היא הענקה זמנית,השאלה:הענקה,UNDEFINED,NOUN
 .עומד בניסיון הוא מי שלא מצליחים לפתות אותו כעת,עומד בניסיון:לפתות,PHRASE,VERB
אדריכל הוא בעל מקצוע שמתכנן מבנים שבהם ניתן לגור,אדריכל:לגור,NOUN,VERB
מי שהציג דבר מה רצה לגרום לאדם אחר להסתכל על אותו הדבר,הציג:להסתכל,VERB,VERB
דיונה מורכבת מחול,דיונה:חול,NOUN,NOUN
כשחותכים עץ נוצרים שבבים,עץ:שבב,NOUN,UNDEFINED
מי שמתחרה משתתף בתחרות,תחרות:מתחרה,NOUN,VERB
חום גבוה הינו סממן של מי שהבריאות שלו אינה במיטבה,חום גבוה:בריאות,UNDEFINED,NOUN
אגל הוא צורת ההופעה של הטל,טל:אגל,NOUN,NOUN
מי שקרטע בעצם נע באופן לא רצוף,קרטע:נע,VERB,VERB
אדם ניגף כאשר מישהו אחר מנצח אותו,ניגף:מנצח,VERB,VERB
מלצר הגיש את אשר אדם אחר בישל,בישל:מלצר,VERB,NOUN
אבן נגף (מכשול) היא דבר המפריע להתקדם,אבן נגף:להתקדם,PHRASE,VERB
שרלטן מציג נושא מסוים כאילו הוא המומחיות שלו,שרלטן:מומחיות,NOUN,NOUN
עקב אכילס הוא נקודה בה האדם פגיע,עקב אכילס:פגיע,PHRASE,ADJECTIVE
בהתמדה היא עשיית דבר מה ללא הפסקה,בהתמדה:הפסקה,UNDEFINED,NOUN
דבר שלא שזפתו עין הוא דבר שאיש לא ראה אותו,לא שזפתו עין:ראה,PHRASE,VERB
נסורת היא תוצר לוואי של הפעולה לנסר,לנסר:נסורת,VERB,NOUN
אדם עלה על יצועו ולאחר מכן נרדם,עלה על יצועו:נרדם,PHRASE,VERB
ילדותי הוא מי שיש לו אופי של ילד,ילדותי:ילד,ADJECTIVE,OTHER
אפשר להצחיק בעזרת הלצה,להצחיק:הלצה,VERB,UNDEFINED
הזרבובית היא החלק בכלי מזיגה שדרכו מועבר התה,תה:זרבובית,NOUN,NOUN
אבן משחזת גורמת למאכלת למלא את תפקידה בצורה טובה יותר,אבן משחזת:מאכלת,UNDEFINED,NOUN
דבר שבשל הגיע למצב שבו הוא בשל,בשל:בשל,VERB,VERB
יהלום הוא סוג של אבן יקרה,אבן:יהלום,NOUN,NOUN
טלאי נועד לכסות את החור (בבגד),חור:טלאי,NOUN,NOUN
קמור ושטוח מתארים מצבים שונים של דבר מה,קמור:שטוח,ADJECTIVE,ADJECTIVE
לסייג זה להטיל בגבלה כלשהי,לסייג:הגבלה,UNDEFINED,UNDEFINED
דומם הינו דבר מה הקורה ללא קול,דומם:קול,OTHER,NOUN
הדביק הוא מי שדלק אחרי מישהו והצליח להשיג את מטרתו,דָּלַק:הדביק,UNDEFINED,UNDEFINED
מי שלא נוכח איננו,נוכח:איננו,VERB,OTHER
להדיח זה לגרום לאדם אחר לפשוע,להדיח:לפשוע,VERB,VERB
אם מישהו הרכיב משקפי שמש פחת הסיכוי שדבר מה סנוור אותו,משקפי שמש:סִנְוֵר,PHRASE,UNDEFINED
מי שהמריא החל פעולה שלאחריה הוא טס,המריא:טס,VERB,VERB
מי ששומה עליו הוא מי שיש לו חובה לעשות דבר מה,שומה עליו:חובה,PHRASE,NOUN
נווה מדבר הוא שטח הממוקם בתוך המדבר ושונה ממנו בטבעו (בנווה מדבר יש מים ועצים בניגוד לשאר המדבר),נווה מדבר:מדבר,PHRASE,NOUN
אם מישהו הוא ערום (מלשון עורמה) הוא מנצל באופן פיקחי (חכם) את תמימותם של אחרים,פיקח:ערום,ADJECTIVE,ADJECTIVE
מאפה הוא מאכל שמישהו אפה,מאפה:אפה,NOUN,VERB
